model,horizon,seed,bin,bin_lo_mm,bin_hi_mm,n,RMSE,MAE,mean_obs_mm,mean_pred_mm
temporal,3,123,"[0, 0.1)",0.0,0.1,83918,2.5072071128819866,1.3004638585518353,0.0,1.1756020709457446
temporal,3,123,"[0.1, 1)",0.1,1.0,13799,4.767309990398111,3.2468536987832612,0.41884194887730164,3.496988829544791
temporal,3,123,"[1, 5)",1.0,5.0,16865,5.304414434855451,3.895768164923791,2.485597397515585,5.40107315829994
temporal,3,123,"[5, 10)",5.0,10.0,9358,5.157227551101528,3.886529412991848,7.215313059469909,7.189488677795364
temporal,3,123,"[10, inf)",10.0,inf,16353,29.187246975779146,18.382304769207817,27.18348313596776,9.495449498844748
attention,3,13,"[0, 0.1)",0.0,0.1,83918,2.3711761587823244,1.4712614208181272,0.0,1.430832959744592
attention,3,13,"[0.1, 1)",0.1,1.0,13799,4.359327440433804,3.00486809490326,0.41884194887730164,3.3758748083699306
attention,3,13,"[1, 5)",1.0,5.0,16865,4.777838542119431,3.3372882828643236,2.485597397515585,5.025866198301947
attention,3,13,"[5, 10)",5.0,10.0,9358,4.941846281444992,3.772605493064826,7.215313059469909,6.596718684890986
attention,3,13,"[10, inf)",10.0,inf,16353,29.614025687274694,18.998759208798067,27.18348313596776,8.786696369611894
attention,3,42,"[0, 0.1)",0.0,0.1,83918,3.2466663166631475,2.1077834953635417,0.0,2.098684283045834
attention,3,42,"[0.1, 1)",0.1,1.0,13799,6.065880875554922,4.430814042494753,0.41884194887730164,4.833266375898244
attention,3,42,"[1, 5)",1.0,5.0,16865,6.987750838939572,5.036397796198715,2.485597397515585,7.049037571400216
attention,3,42,"[5, 10)",5.0,10.0,9358,6.680769398337863,4.658038020897502,7.215313059469909,9.117573478967142
attention,3,42,"[10, inf)",10.0,inf,16353,27.833266281808733,16.993335981691736,27.18348313596776,11.975567569437358
attention,3,123,"[0, 0.1)",0.0,0.1,83918,2.2259198901643145,1.2101398786844593,0.0,0.14820061300597973
attention,3,123,"[0.1, 1)",0.1,1.0,13799,4.434632097852265,2.8154379543167614,0.41884194887730164,2.5114780915547468
attention,3,123,"[1, 5)",1.0,5.0,16865,5.405063250066038,3.680153379358115,2.485597397515585,4.496612363312798
attention,3,123,"[5, 10)",5.0,10.0,9358,6.295326777697404,4.590195421029172,7.215313059469909,6.436915105970268
attention,3,123,"[10, inf)",10.0,inf,16353,29.43442601750906,19.131229398741176,27.18348313596776,9.249390938867386
persistence,3,n/a,"[0, 0.1)",0.0,0.1,83918,5.766595042619336,0.9971281465697599,0.0,0.9971281465697599
persistence,3,n/a,"[0.1, 1)",0.1,1.0,13799,10.411877849674566,3.6751721144582112,0.41884194887730164,3.697449091532233
