model,horizon,seed,threshold_mm,POD,FAR,CSI,Bias,HSS,Accuracy,hits,misses,false_alarms,correct_negatives,n,n_obs_event,n_pred_event
lstm,2,42,5.0,0.7880740711984161,0.5136443134718129,0.4301029704648502,1.6203656974261422,0.4848108661137423,0.8087634106631213,20300,5459,21439,93455,140653,25759,41739
lstm,2,42,10.0,0.48540190569264596,0.5472052874480087,0.3059362488450878,1.0720131932567798,0.395752865488592,0.8718192999793819,7947,8425,9604,114677,140653,16372,17551
lstm,2,42,35.6,0.11786372007366483,0.46143057503506313,0.10705324783942013,0.21884591774094536,0.1866365649876843,0.9772276453399501,384,2874,329,137066,140653,3258,713
lstm,2,42,64.4,0.02613065326633166,0.4222222222222222,0.02564102564102564,0.04522613065326633,0.04941806723967742,0.9929756208541588,26,969,19,139639,140653,995,45
lstm,2,42,124.4,0.0,,0.0,0.0,0.0,0.9987913517664039,0,170,0,140483,140653,170,0
lstm,2,123,0.1,0.9842537775028718,0.5718480934809348,0.4252391750845607,2.2988424494123882,0.08201109735569737,0.46480345246813076,55694,891,74386,9682,140653,56585,130080
lstm,2,123,1.0,0.9425292740046839,0.5758667931288861,0.41344099276791585,2.222248243559719,0.28605929133706154,0.5940506068125102,40246,2454,54644,43309,140653,42700,94890
lstm,2,123,5.0,0.7280173919795023,0.4608263132169863,0.44877593509943287,1.350246515780892,0.518122291093776,0.8362352740432127,18753,7006,16028,98866,140653,25759,34781
lstm,2,123,10.0,0.4101514781333985,0.5068664169787765,0.28851937784652404,0.8317248961641828,0.38256377509491407,0.8822705523522427,6715,9657,6902,117379,140653,16372,13617
lstm,2,123,35.6,0.09699201964395335,0.4296028880866426,0.09038901601830664,0.17004297114794353,0.16013769822456347,0.9773911683362602,316,2942,238,137157,140653,3258,554
lstm,2,123,64.4,0.017085427135678392,0.2608695652173913,0.016983016983016984,0.023115577889447236,0.03308974164578468,0.9930040596361258,17,978,6,139652,140653,995,23
lstm,2,123,124.4,0.0058823529411764705,0.5,0.005847953216374269,0.011764705882352941,0.011600124935799327,0.9987913517664039,1,169,1,140482,140653,170,2
temporal,2,13,0.1,0.9733675002209066,0.5704648786916952,0.4245456087070467,2.266095254926217,0.08554643828473132,0.46921857336850264,55078,1507,73149,10919,140653,56585,128227
temporal,2,13,1.0,0.9200702576112412,0.5362122088562018,0.44582510610290277,1.983817330210773,0.357234668359212,0.6527980206607751,39287,3413,45422,52531,140653,42700,84709
temporal,2,13,5.0,0.7246011102915486,0.4649716218540389,0.4446164840400191,1.354322760976746,0.5129217318541645,0.8342374496100332,18665,7094,16221,98673,140653,25759,34886
temporal,2,13,10.0,0.41534326899584656,0.505274645325573,0.29163271432860144,0.8395431224041046,0.3863767038516894,0.8825691595628959,6800,9572,6945,117336,140653,16372,13745
temporal,2,13,35.6,0.09637814610190301,0.4174397031539889,0.09015216767154752,0.16543891958256599,0.15986879451131314,0.9774693749866693,314,2944,225,137170,140653,3258,539
temporal,2,13,64.4,0.024120603015075376,0.29411764705882354,0.023880597014925373,0.034170854271356785,0.04620134381897071,0.993025388722601,24,971,10,139648,140653,995,34
temporal,2,13,124.4,0.0058823529411764705,0.5,0.005847953216374269,0.011764705882352941,0.011600124935799327,0.9987913517664039,1,169,1,140482,140653,170,2
temporal,2,42,0.1,0.9874348325527966,0.5792430380890703,0.4185161604434291,2.3468056905540338,0.05938741173895329,0.4480672292805699,55874,711,76920,7148,140653,56585,132794
temporal,2,42,1.0,0.942576112412178,0.5825848872663915,0.407063535408702,2.258126463700234,0.27242849902037386,0.5831869921011283,40248,2452,56174,41779,140653,42700,96422
temporal,2,42,5.0,0.7335300283396095,0.4688237939952772,0.4452587425770572,1.380954229589658,0.5126266987653705,0.8326306584288995,18895,6864,16677,98217,140653,25759,35572
temporal,2,42,10.0,0.3998289763010017,0.5012191405059433,0.28522875816993465,0.8016125091619839,0.3795936346042297,0.8833725551534628,6546,9826,6578,117703,140653,16372,13124
temporal,2,42,35.6,0.0847145488029466,0.44016227180527384,0.07942446043165467,0.15131982811540823,0.1419361754443021,0.9772560841219171,276,2982,217,137178,140653,3258,493
temporal,2,42,64.4,0.01306532663316583,0.2777777777777778,0.013,0.018090452261306532,0.02542132748171238,0.9929827305496506,13,982,5,139653,140653,995,18
temporal,2,42,124.4,0.0,,0.0,0.0,0.0,0.9987913517664039,0,170,0,140483,140653,170,0
temporal,2,123,0.1,0.9968896350622957,0.5949026197862806,0.4045860110167546,2.460864186621896,0.009290329726388534,0.4097886287530305,56409,176,82839,1229,140653,56585,139248
temporal,2,123,1.0,0.9571428571428572,0.5941813126799722,0.39857616539886875,2.3585480093676816,0.25032315506691527,0.5615450790242654,40870,1830,59840,38113,140653,42700,100710
temporal,2,123,5.0,0.7318607088784502,0.46628163750637,0.446423074190722,1.371248883885244,0.5144293384176305,0.8337966484895452,18852,6907,16470,98424,140653,25759,35322
temporal,2,123,10.0,0.3959809430735402,0.49849152935715946,0.28414270687237025,0.7895797703396042,0.37872761744194705,0.8838773435333764,6483,9889,6444,117837,140653,16372,12927
temporal,2,123,35.6,0.08962553713934929,0.45318352059925093,0.08342857142857144,0.16390423572744015,0.14845306105138617,0.9771920968624914,292,2966,242,137153,140653,3258,534
temporal,2,123,64.4,0.01507537688442211,0.34782608695652173,0.014955134596211365,0.023115577889447236,0.02915921214027974,0.9929756208541588,15,980,8,139650,140653,995,23
temporal,2,123,124.4,0.0,,0.0,0.0,0.0,0.9987913517664039,0,170,0,140483,140653,170,0
attention,2,13,0.1,0.8706547671644429,0.3866972077331972,0.5620892661555312,1.4196165061412036,0.4689886883030521,0.7271156676359551,49266,7319,31063,53005,140653,56585,80329
attention,2,13,1.0,0.8691100702576112,0.4170619836008922,0.535891178466737,1.490913348946136,0.5253178889347928,0.7714943868954093,37111,5589,26551,71402,140653,42700,63662
