model,horizon,threshold_mm,n_seeds,POD_mean,POD_std,FAR_mean,FAR_std,CSI_mean,CSI_std,Bias_mean,Bias_std,HSS_mean,HSS_std,Accuracy_mean,Accuracy_std
lstm,1,1.0,3,0.9332213094349017,0.020910103158024395,0.5224717916959452,0.05476918770071585,0.46100805923902727,0.047970887302254184,1.9754247572815533,0.2790718462264335,0.37986657247293204,0.09622030795587809,0.6636226990318295,0.07394605441744592
lstm,1,5.0,3,0.7744953796912911,0.016536132394171125,0.432470652985293,0.015567845213008262,0.4868453114102062,0.008523930893236758,1.36572711785659,0.06153794675689885,0.5624909467926285,0.011168782704309576,0.8506709706953224,0.0063936854960555504
lstm,1,10.0,3,0.5541874923808362,0.009386809703766937,0.45865381793494814,0.007464759542911102,0.37704852823466867,0.0026359947091708987,1.0239749685074566,0.029711867835424396,0.48738374035289506,0.003019160999907063,0.8936640639563557,0.001498379737052873
lstm,1,35.6,3,0.23217755957860284,0.010736567933220965,0.4313486971247067,0.010225844134885037,0.19729958023541747,0.006454662894340813,0.40861204868569095,0.026447861485353743,0.32045527632451987,0.008689395110807881,0.9782155742598322,0.00011531013521229025
lstm,1,64.4,3,0.11859296482412061,0.02139075040582187,0.49305977710233034,0.051457201115622395,0.10559040708771535,0.015168769661245547,0.23785594639865995,0.06283081853772544,0.1886144806872421,0.024323266412963486,0.9929516811432104,0.0001502237579776208
lstm,1,124.4,3,0.03373015873015873,0.014979830228711804,0.36305361305361306,0.1039634225988312,0.03289211159375677,0.01432974072648754,0.05555555555555555,0.028129854918170293,0.06332502690047982,0.026884982170191793,0.9988248869130629,7.078994499642999e-06
lstm,2,0.1,3,0.953356307619805,0.055656917059654615,0.5252606424684795,0.08538180276760506,0.46021844761546055,0.06482965295567832,2.0611940738122585,0.4422688756743512,0.1848933935902302,0.1925282093442468,0.5355496624079591,0.1331530773178613
lstm,2,1.0,3,0.9297501951600312,0.045159271495117184,0.5499576585942739,0.08444431495545321,0.4322630936853949,0.06698312899843138,2.124145199063232,0.46721581294379155,0.32007800819673843,0.14204119171336008,0.6160740735474299,0.11449113677756433
lstm,2,5.0,3,0.7595662357493174,0.030143605929050313,0.48510790492417416,0.02666482491015187,0.44193356247571325,0.010287451168865827,1.4798581725481064,0.1353888216567056,0.5047254363960042,0.017586165610511354,0.8240539957673613,0.013997380508809491
lstm,2,10.0,3,0.44714553302386184,0.03764109186238475,0.5258153178593332,0.02027992184431906,0.2979277216083734,0.008792409429342073,0.9464125743138693,0.12051529213125757,0.3902293130402526,0.006850481935978508,0.8775331252562454,0.005293598407133463
lstm,2,35.6,3,0.10067526089625538,0.01567482545709479,0.4383228514665321,0.020211534987626734,0.09311915477307363,0.012789472221672172,0.1800695723347657,0.034861766213843876,0.16433403297438723,0.0205285963826138,0.9773295509753318,8.889488947272163e-05
lstm,2,64.4,3,0.022445561139028476,0.004749563443469958,0.332459167241776,0.08219717619778245,0.022160300490320372,0.00457154363137282,0.03450586264656617,0.011070493562384126,0.042883722525646546,0.00863843013083038,0.9929993198391314,2.1720478506004357e-05
lstm,2,124.4,3,0.00196078431372549,0.003396178054056622,0.5,0.0,0.001949317738791423,0.0033763173636820218,0.00392156862745098,0.006792356108113244,0.003866708311933109,0.006697335254317031,0.9987913517664039,0.0
lstm,3,0.1,3,0.9845380635624538,0.0056222577598633245,0.5754976951532901,0.010816733749936698,0.4216525195404012,0.009614306240541364,2.320490761271249,0.07150270180402385,0.07176597338415548,0.03259779048486805,0.45695081009031097,0.02421600518325391
lstm,3,1.0,3,0.9518899536515094,0.014563526818766999,0.6089124824609017,0.03335438482004123,0.3831876836861135,0.02945349247927501,2.4473568833771764,0.23577990540987312,0.2154305343127978,0.06992705585274195,0.5315565756428807,0.06271493247421288
